reg_code;reg_nom
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
84;Auvergne-Rhône-Alpes
